127.0.0.1 - - [30/Apr/2025:11:06:58 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:06:59 +0530] "GET /Mjbc04/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:06:59 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:22:37 +0530] "GET /Mjbc04/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:22:38 +0530] "GET /Mjbc04/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:22:42 +0530] "GET /Mjbc04/login.jsp HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:22:55 +0530] "POST /Mjbc04/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:22:55 +0530] "GET /Mjbc04/dashboard.jsp HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:23:01 +0530] "GET /Mjbc04/upload.jsp HTTP/1.1" 200 3467
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:23:10 +0530] "POST /Mjbc04/UploadServlet HTTP/1.1" 200 3546
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:23:28 +0530] "POST /Mjbc04/UploadServlet HTTP/1.1" 200 3537
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:23:33 +0530] "GET /Mjbc04/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:23:33 +0530] "GET /Mjbc04/login.jsp HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:23:41 +0530] "POST /Mjbc04/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:23:42 +0530] "GET /Mjbc04/dashboard.jsp HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:23:44 +0530] "GET /Mjbc04/Search.jsp HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:23:47 +0530] "POST /Mjbc04/search HTTP/1.1" 200 2959
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:23:55 +0530] "GET /Mjbc04/request.jsp?Id=1&&userId=user2@gmail.com&&FName=datastore HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:23:55 +0530] "GET /Mjbc04/Search.jsp HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:23:58 +0530] "GET /Mjbc04/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:23:58 +0530] "GET /Mjbc04/login.jsp HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:24:00 +0530] "GET /Mjbc04/SP.jsp HTTP/1.1" 200 10720
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:24:32 +0530] "POST /Mjbc04/SP HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:24:32 +0530] "GET /Mjbc04/spdashboard.jsp HTTP/1.1" 200 2983
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:24:34 +0530] "GET /Mjbc04/userRequest.jsp HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:24:36 +0530] "GET /Mjbc04/updatestatus.jsp?Fid=1&Filename=datastore HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:24:36 +0530] "GET /Mjbc04/spdashboard.jsp HTTP/1.1" 200 2983
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:24:41 +0530] "GET /Mjbc04/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:24:43 +0530] "GET /Mjbc04/login.jsp HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:24:56 +0530] "POST /Mjbc04/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:24:56 +0530] "GET /Mjbc04/dashboard.jsp HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:25:01 +0530] "GET /Mjbc04/Search.jsp HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:25:04 +0530] "GET /Mjbc04/ViewData.jsp HTTP/1.1" 200 2633
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:25:06 +0530] "GET /Mjbc04/Search.jsp HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [30/Apr/2025:11:25:08 +0530] "POST /Mjbc04/search HTTP/1.1" 200 2959
